geneID_sgA,geneID_sgB,geneName_sgA,geneName_sgB,exonCountA,exonCountB,chrom_sgA,chrom_sgB,baseMean,log2FoldChange_S11_Lsom,padj_S11_Lsom,log2FoldChange_S12_Prehatch,padj_S12_Prehatch,Bias_Category_LSom,Bias_Category_PHatch
ENSCCRG00000082576,ENSCCRG00000051572,pcsk7,pcsk7,18,17,CAJNDQ010000040.1,CAJNDQ010000027.1,2148.45321959418,-0.603596941850182,0.0009043593626259,-0.0069088564741779,0.981702776184448,SubgB_dominant,Balanced
ENSCCRG00000002987,ENSCCRG00000077712,pmpcb,pmpcb,15,18,CAJNDQ010000037.1,CAJNDQ010000009.1,883.63170085444,-0.604214272650057,0.0003386133922291,-0.0989844748356332,0.665148109624978,SubgB_dominant,Balanced
ENSCCRG00000064576,ENSCCRG00000079933,,,16,24,CAJNDQ010000019.1,CAJNDQ010000049.1,1556.13007416901,-0.606556696815504,0.0038903218010705,-0.970053745385408,2.9341752300849e-06,SubgB_dominant,SubgB_dominant
ENSCCRG00000077009,ENSCCRG00000081017,smap1,smap1,11,11,CAJNDQ010000019.1,CAJNDQ010000049.1,2411.62686586766,-0.606909463405205,5.65446434256788e-12,-0.442515400009623,5.16208748617857e-07,SubgB_dominant,Balanced
ENSCCRG00000056056,ENSCCRG00000006130,,,23,23,CAJNDQ010000003.1,CAJNDQ010000048.1,236.38704246965,-0.607113393270726,0.0137834985651606,0.766366085975494,0.0016199891141654,SubgB_dominant,SubgA_dominant
ENSCCRG00000016691,ENSCCRG00000011264,zgc:100918,zgc:100918,7,6,CAJNDQ010000033.1,CAJNDQ010000025.1,1458.8541178677,-0.607371971358974,0.000344682879547,-0.271940995947801,0.164247652084151,SubgB_dominant,Balanced
ENSCCRG00000024823,ENSCCRG00000024985,CUL2,CUL2,21,21,CAJNDQ010000015.1,CAJNDQ010000041.1,785.431582259753,-0.607581580613278,3.762225285507e-07,-0.663361140788335,2.28205850429376e-08,SubgB_dominant,SubgB_dominant
ENSCCRG00000033746,ENSCCRG00000012576,nat16l,nat16l,8,8,CAJNDQ010000007.1,CAJNDQ010000001.1,349.069836572278,-0.60758458657769,0.0421331510899725,-0.326101854857755,0.337214936682259,SubgB_dominant,Balanced
ENSCCRG00000054754,ENSCCRG00000076218,zgc:55781,zgc:55781,7,6,CAJNDQ010000022.1,CAJNDQ010000030.1,753.718661334725,-0.607835551745705,0.0014173913902342,0.248078339928185,0.257447261417757,SubgB_dominant,Balanced
ENSCCRG00000021882,ENSCCRG00000021863,eif4a3,eif4a3,15,13,CAJNDQ010000043.1,CAJNDQ010000014.1,5838.31323556238,-0.607885389999378,8.04271977787701e-08,-0.576730484092349,4.84681890076699e-07,SubgB_dominant,Balanced
ENSCCRG00000019736,ENSCCRG00000076754,arpc5la,arpc5la,5,4,CAJNDQ010000018.1,CAJNDQ010000024.1,349.255883706779,-0.608695310716636,0.0088317880926943,-0.307675348198639,0.241144819060133,SubgB_dominant,Balanced
ENSCCRG00000074796,ENSCCRG00000036205,fbxo28,fbxo28,5,5,CAJNDQ010000019.1,CAJNDQ010000049.1,2033.79208461457,-0.610379351063222,6.97241947213426e-05,-0.438306279030477,0.0067068919898408,SubgB_dominant,Balanced
ENSCCRG00000015977,ENSCCRG00000002191,cnot6b,cnot6b,13,14,CAJNDQ010000021.1,CAJNDQ010000036.1,1493.43328455875,-0.610933936529938,0.0017787382968768,-0.699170697485101,0.0002346870949694,SubgB_dominant,SubgB_dominant
ENSCCRG00000021140,ENSCCRG00000024737,ism1,ism1,7,7,CAJNDQ010000019.1,CAJNDQ010000049.1,487.3226335575,-0.611213984667026,0.0486182037658677,-0.715723576239011,0.0218056163048595,SubgB_dominant,SubgB_dominant
ENSCCRG00000004235,ENSCCRG00000028161,,,25,24,CAJNDQ010000019.1,CAJNDQ010000049.1,1065.39219062428,-0.611548493374279,0.0105180349305986,-0.227886697736363,0.433428056189296,SubgB_dominant,Balanced
ENSCCRG00000029375,ENSCCRG00000054568,,,30,27,CAJNDQ010000004.1,CAJNDQ010000002.1,237.613640553787,-0.616705532746296,0.0401208145161393,-1.21102089106211,2.53903865554923e-05,SubgB_dominant,SubgB_dominant
ENSCCRG00000034784,ENSCCRG00000072958,rbpjb,rbpjb,12,11,CAJNDQ010000007.1,CAJNDQ010000001.1,538.671667212487,-0.617689621290823,0.0009166672519119,-0.585911849414734,0.0021038649179726,SubgB_dominant,SubgB_dominant
ENSCCRG00000081804,ENSCCRG00000056301,atl3,atl3,14,15,CAJNDQ010000021.1,CAJNDQ010000036.1,1125.94918689138,-0.617884385383619,0.0003326781947981,-0.695916115066254,3.46511807007737e-05,SubgB_dominant,SubgB_dominant
ENSCCRG00000005954,ENSCCRG00000025633,lrrfip2,lrrfip2,30,28,CAJNDQ010000019.1,CAJNDQ010000049.1,993.592750386242,-0.61857315481124,0.0120099359864752,-0.167492719342726,0.594524515366993,SubgB_dominant,Balanced
ENSCCRG00000017433,ENSCCRG00000051621,pank1b,pank1b,8,7,CAJNDQ010000045.1,CAJNDQ010000026.1,494.849651180726,-0.618674098032298,0.0019053836325028,-0.515552955130284,0.0091230325810999,SubgB_dominant,Balanced
ENSCCRG00000077318,ENSCCRG00000069793,pdhb,pdhb,10,10,CAJNDQ010000044.1,CAJNDQ010000006.1,1147.69120549628,-0.620019106480285,3.68103888132965e-05,-1.3665193600067,7.846004793397959e-22,SubgB_dominant,SubgB_dominant
ENSCCRG00000007495,ENSCCRG00000031723,prkci,prkci,18,18,CAJNDQ010000022.1,CAJNDQ010000030.1,1878.67729321497,-0.620948536811061,0.0005205417301167,-0.225749539974439,0.292524102626181,SubgB_dominant,Balanced
ENSCCRG00000056705,ENSCCRG00000023454,si:dkey-98f17.5,si:dkey-98f17.5,13,12,CAJNDQ010000008.1,CAJNDQ010000016.1,830.816003996286,-0.62177145134258,0.0249861258655303,-0.574160015005486,0.0256806399856802,SubgB_dominant,Balanced
ENSCCRG00000019230,ENSCCRG00000057898,SAMD8,SAMD8,8,8,CAJNDQ010000045.1,CAJNDQ010000026.1,331.239729486609,-0.62259042407164,0.0429927671906878,-1.16274566098565,5.9467182207993e-05,SubgB_dominant,SubgB_dominant
ENSCCRG00000024655,ENSCCRG00000077997,tmed10,tmed10,5,5,CAJNDQ010000029.1,CAJNDQ010000035.1,2995.34591085304,-0.622958117321809,1.15536754549352e-06,-0.267813065360157,0.0603350199973904,SubgB_dominant,Balanced
ENSCCRG00000078665,ENSCCRG00000057946,fam117bb,fam117bb,8,8,CAJNDQ010000042.1,CAJNDQ010000047.1,266.156694799069,-0.623172202493234,0.0292961062553325,0.104729050637531,0.799388470112841,SubgB_dominant,Balanced
ENSCCRG00000012166,ENSCCRG00000006982,,,24,30,CAJNDQ010000017.1,CAJNDQ010000011.1,1628.29286227007,-0.623416171056594,0.0025861445812447,-0.145968438586005,0.587483247940258,SubgB_dominant,Balanced
ENSCCRG00000082099,ENSCCRG00000071208,rab1ab,rab1ab,5,5,CAJNDQ010000019.1,CAJNDQ010000049.1,1298.69088872748,-0.623999236314814,4.1838122029077e-07,-0.602856122567682,9.87906669450214e-07,SubgB_dominant,SubgB_dominant
ENSCCRG00000010088,ENSCCRG00000011809,lmf2a,lmf2a,16,17,CAJNDQ010000010.1,CAJNDQ010000020.1,289.00680150248,-0.626767187261066,0.0396650837222794,-0.680570465422755,0.0261081546208073,SubgB_dominant,SubgB_dominant
ENSCCRG00000013078,ENSCCRG00000069459,mex3b,mex3b,4,2,CAJNDQ010000007.1,CAJNDQ010000001.1,1785.66964302592,-0.627332448372719,0.0058644238763696,0.0803433545075811,0.810551814621182,SubgB_dominant,Balanced
ENSCCRG00000025033,ENSCCRG00000046595,gtf2e2,gtf2e2,8,8,CAJNDQ010000023.1,CAJNDQ010000028.1,971.233434312593,-0.627458065184613,0.0152473800776983,-0.983522392962311,9.2025231571854e-05,SubgB_dominant,SubgB_dominant
ENSCCRG00000057708,ENSCCRG00000013872,,,28,30,CAJNDQ010000037.1,CAJNDQ010000009.1,1082.84656953891,-0.628229552994266,0.0370300896942059,-0.332347955739459,0.340758824855698,SubgB_dominant,Balanced
ENSCCRG00000077967,ENSCCRG00000014473,ppp1r26,ppp1r26,9,9,CAJNDQ010000039.1,CAJNDQ010000046.1,1062.3521820047,-0.629153852414958,5.44487267073372e-06,-0.587292340098763,2.08279025794366e-05,SubgB_dominant,SubgB_dominant
ENSCCRG00000068869,ENSCCRG00000065088,LRCH1,LRCH1,21,22,CAJNDQ010000042.1,CAJNDQ010000047.1,288.691643176082,-0.630822741832022,0.0401259287895763,0.466108469457342,0.163200074744499,SubgB_dominant,Balanced
ENSCCRG00000045952,ENSCCRG00000013666,wdr26b,wdr26b,14,14,CAJNDQ010000029.1,CAJNDQ010000035.1,1701.18705511942,-0.63091826307214,0.0003130499458137,-0.775457516408028,9.04087995316112e-06,SubgB_dominant,SubgB_dominant
ENSCCRG00000069289,ENSCCRG00000012439,,,13,13,CAJNDQ010000015.1,CAJNDQ010000041.1,868.747406995792,-0.631078335635638,2.74013621201829e-05,-0.064591490009468,0.775971583088293,SubgB_dominant,Balanced
ENSCCRG00000024736,ENSCCRG00000059408,tasp1,tasp1,15,15,CAJNDQ010000019.1,CAJNDQ010000049.1,625.755154848924,-0.63181020356002,0.0047302840381052,-0.591584661012596,0.0066947516624281,SubgB_dominant,SubgB_dominant
ENSCCRG00000018356,ENSCCRG00000021855,ptk7a,ptk7a,22,20,CAJNDQ010000044.1,CAJNDQ010000006.1,4020.14570486776,-0.632546762831196,0.0001189170580776,-0.784714593456806,1.62506838523753e-06,SubgB_dominant,SubgB_dominant
ENSCCRG00000000777,ENSCCRG00000000466,,,25,26,CAJNDQ010000037.1,CAJNDQ010000009.1,5817.50311106425,-0.633048535697341,0.0121073123900871,-0.600166962059612,0.0212043470136577,SubgB_dominant,SubgB_dominant
ENSCCRG00000021150,ENSCCRG00000050338,,,15,16,CAJNDQ010000023.1,CAJNDQ010000028.1,614.290125300845,-0.63427235636448,0.0055944148481704,-0.968441728734472,1.22238843047934e-05,SubgB_dominant,SubgB_dominant
ENSCCRG00000009301,ENSCCRG00000070658,zgc:112052,zgc:112052,3,4,CAJNDQ010000010.1,CAJNDQ010000020.1,193.380860119703,-0.63503408669369,0.0062782426625151,-0.624006780127963,0.0074130978757862,SubgB_dominant,SubgB_dominant
ENSCCRG00000033724,ENSCCRG00000018300,,,9,10,CAJNDQ010000043.1,CAJNDQ010000014.1,421.162078245751,-0.635084899915244,0.0111296065018477,-0.469684259602899,0.0793838860871738,SubgB_dominant,Balanced
ENSCCRG00000079408,ENSCCRG00000040245,ctdp1,ctdp1,15,15,CAJNDQ010000032.1,CAJNDQ010000013.1,1705.72087546952,-0.635118093583097,9.18028133982376e-07,-0.406938126271632,0.0030704657424463,SubgB_dominant,Balanced
ENSCCRG00000073192,ENSCCRG00000076979,,,28,19,CAJNDQ010000010.1,CAJNDQ010000020.1,348.329652849159,-0.636014866711998,0.016233437553221,-1.17298637460884,2.32585085816676e-06,SubgB_dominant,SubgB_dominant
ENSCCRG00000040699,ENSCCRG00000082900,atp2b3a,atp2b3a,29,27,CAJNDQ010000018.1,CAJNDQ010000024.1,305.437616834634,-0.637685349937227,0.0051050449521409,-0.0679711369414736,0.829837597735485,SubgB_dominant,Balanced
ENSCCRG00000033207,ENSCCRG00000025202,zfyve19,zfyve19,12,16,CAJNDQ010000005.1,CAJNDQ010000031.1,216.996094207988,-0.638720548623894,0.0291612883439411,-0.919432716452672,0.0014912979191906,SubgB_dominant,SubgB_dominant
ENSCCRG00000000288,ENSCCRG00000036696,ccdc102a,ccdc102a,9,10,CAJNDQ010000007.1,CAJNDQ010000001.1,649.901721649512,-0.638884520545276,0.0003428673720385,-0.623299853046859,0.0004946474909923,SubgB_dominant,SubgB_dominant
ENSCCRG00000071331,ENSCCRG00000076188,zgc:56493,zgc:56493,5,5,CAJNDQ010000023.1,CAJNDQ010000028.1,1641.6171392674,-0.63982863153413,0.0154510489992758,-0.392008580515776,0.181240571801622,SubgB_dominant,Balanced
ENSCCRG00000067847,ENSCCRG00000054832,fnbp4,fnbp4,18,19,CAJNDQ010000034.1,CAJNDQ010000038.1,2221.59251136018,-0.639830650808701,0.0008759767102403,-0.193362536300642,0.414954783861301,SubgB_dominant,Balanced
ENSCCRG00000054338,ENSCCRG00000001606,reep5,reep5,4,5,CAJNDQ010000033.1,CAJNDQ010000025.1,361.971906861535,-0.641106168875027,0.0399569141417226,-1.6187440474929,1.86018358986591e-08,SubgB_dominant,SubgB_dominant
ENSCCRG00000027598,ENSCCRG00000030872,cbx1b,cbx1b,9,6,CAJNDQ010000045.1,CAJNDQ010000026.1,340.901359307262,-0.641973261623486,0.0009362124278384,-1.12525382397154,2.5382460136602e-09,SubgB_dominant,SubgB_dominant
ENSCCRG00000057551,ENSCCRG00000031098,tmem147,tmem147,9,8,CAJNDQ010000003.1,CAJNDQ010000048.1,235.030368975661,-0.642511761700825,0.0090361118585936,-0.544208410435152,0.0324336346865532,SubgB_dominant,Balanced
ENSCCRG00000074568,ENSCCRG00000076586,,,1,3,CAJNDQ010000032.1,CAJNDQ010000013.1,7310.62945044052,-0.642816807328283,1.38094967558593e-05,-0.725428930202761,9.28131730976391e-07,SubgB_dominant,SubgB_dominant
ENSCCRG00000055539,ENSCCRG00000007313,tor1,tor1,6,6,CAJNDQ010000039.1,CAJNDQ010000046.1,1221.31494980514,-0.643126901790734,0.0002303497268875,-1.12031601262551,9.17638077063915e-11,SubgB_dominant,SubgB_dominant
ENSCCRG00000049058,ENSCCRG00000074452,chmp6b,chmp6b,9,8,CAJNDQ010000045.1,CAJNDQ010000026.1,458.039650794633,-0.645926001506123,0.0125233233126737,-0.216461716361308,0.502221265846228,SubgB_dominant,Balanced
ENSCCRG00000079857,ENSCCRG00000080182,,,6,7,CAJNDQ010000003.1,CAJNDQ010000048.1,878.954220695837,-0.645938001065609,5.71513703793559e-05,-0.321431475903946,0.0651321098953177,SubgB_dominant,Balanced
ENSCCRG00000016663,ENSCCRG00000013433,irx1b,irx1b,4,4,CAJNDQ010000032.1,CAJNDQ010000013.1,304.569568709378,-0.646154083613211,0.005676683845636,-0.21479381266725,0.480904014150047,SubgB_dominant,Balanced
ENSCCRG00000013286,ENSCCRG00000019378,gab1,gab1,13,12,CAJNDQ010000023.1,CAJNDQ010000028.1,1099.79314787767,-0.646734043251539,0.0002200732855092,-0.191285342895319,0.384217999606118,SubgB_dominant,Balanced
ENSCCRG00000017175,ENSCCRG00000010274,,xylt2,12,12,CAJNDQ010000004.1,CAJNDQ010000002.1,728.318350463402,-0.647997029454887,0.0052613751306128,0.120662236579293,0.703309338101317,SubgB_dominant,Balanced
ENSCCRG00000000489,ENSCCRG00000051876,TNRC6A,TNRC6A,26,24,CAJNDQ010000004.1,CAJNDQ010000002.1,4329.44925245666,-0.649158942911321,0.0008380639116429,-0.878164743519899,4.31152686307926e-06,SubgB_dominant,SubgB_dominant
ENSCCRG00000009113,ENSCCRG00000015175,,,45,36,CAJNDQ010000023.1,CAJNDQ010000028.1,369.002032850831,-0.649753905561271,0.0163195394629844,-0.623357469103801,0.0228799361241654,SubgB_dominant,SubgB_dominant
ENSCCRG00000081740,ENSCCRG00000026018,uqcrfs1,uqcrfs1,3,3,CAJNDQ010000007.1,CAJNDQ010000001.1,1556.17008313032,-0.650327144956429,0.0003808768048454,-0.239581082656729,0.263720517125789,SubgB_dominant,Balanced
ENSCCRG00000019751,ENSCCRG00000025338,trappc12,trappc12,13,14,CAJNDQ010000005.1,CAJNDQ010000031.1,421.184851281939,-0.650341760634776,0.0006913171903223,-0.176001806090739,0.462114266961764,SubgB_dominant,Balanced
ENSCCRG00000059718,ENSCCRG00000062411,ENC1,ENC1,5,5,CAJNDQ010000008.1,CAJNDQ010000016.1,256.038744553918,-0.650475415342378,0.0068525374203222,0.184379980692632,0.560246884486138,SubgB_dominant,Balanced
ENSCCRG00000021748,ENSCCRG00000020434,slc39a6,slc39a6,12,12,CAJNDQ010000022.1,CAJNDQ010000030.1,449.823236316923,-0.65106856062188,0.0043474675068157,-0.386084053842871,0.130211725415,SubgB_dominant,Balanced
ENSCCRG00000005441,ENSCCRG00000063101,ext1b,ext1b,12,11,CAJNDQ010000032.1,CAJNDQ010000013.1,1521.4569956205,-0.65289965913566,0.0017112176116832,-0.455979409327033,0.0400521681943218,SubgB_dominant,Balanced
ENSCCRG00000043041,ENSCCRG00000076887,elf1,elf1,11,10,CAJNDQ010000021.1,CAJNDQ010000036.1,323.936251927971,-0.653544636595427,0.0133536620449327,-0.352844850731098,0.236960468887971,SubgB_dominant,Balanced
ENSCCRG00000063584,ENSCCRG00000013881,gnl2,gnl2,16,16,CAJNDQ010000003.1,CAJNDQ010000048.1,1278.80194630897,-0.654929395060531,0.0005509449941673,-0.983200621064757,1.13979696278776e-07,SubgB_dominant,SubgB_dominant
ENSCCRG00000057865,ENSCCRG00000075703,st8sia2,st8sia2,7,7,CAJNDQ010000010.1,CAJNDQ010000020.1,193.935446518116,-0.655161739177594,0.0219596084794089,-0.882529910179656,0.0018098432164254,SubgB_dominant,SubgB_dominant
ENSCCRG00000036091,ENSCCRG00000061465,mib1,mib1,23,22,CAJNDQ010000022.1,CAJNDQ010000030.1,1067.9348685462,-0.655435077377723,0.0033975897705126,-0.606142857269856,0.0083277623449646,SubgB_dominant,SubgB_dominant
ENSCCRG00000053239,ENSCCRG00000034966,dctn4,dctn4,14,14,CAJNDQ010000021.1,CAJNDQ010000036.1,575.471153325017,-0.655893845369246,0.0004197982373846,-0.577688373598764,0.0023742915519215,SubgB_dominant,Balanced
ENSCCRG00000044354,ENSCCRG00000000623,,,29,27,CAJNDQ010000022.1,CAJNDQ010000030.1,592.332118488853,-0.65685259001946,0.0042264699091531,-0.0331460913043049,0.925769708543985,SubgB_dominant,Balanced
ENSCCRG00000008794,ENSCCRG00000046774,ssrp1a,ssrp1a,19,19,CAJNDQ010000021.1,CAJNDQ010000036.1,3724.98816195488,-0.656910961561803,8.835122251114941e-09,-1.13304691046053,6.5073177478775305e-24,SubgB_dominant,SubgB_dominant
ENSCCRG00000002120,ENSCCRG00000018076,,,16,18,CAJNDQ010000032.1,CAJNDQ010000013.1,15931.3868648064,-0.657107611745822,6.37038674437542e-06,-0.181726244967889,0.307352543714384,SubgB_dominant,Balanced
ENSCCRG00000038416,ENSCCRG00000073904,EFL1,EFL1,20,20,CAJNDQ010000007.1,CAJNDQ010000001.1,407.468733405856,-0.657205386441798,0.0083722393332136,-0.79584777233569,0.0014193063244031,SubgB_dominant,SubgB_dominant
ENSCCRG00000042700,ENSCCRG00000050537,ap2b1,ap2b1,24,23,CAJNDQ010000008.1,CAJNDQ010000016.1,1572.76923146466,-0.657934029067996,4.48801763238419e-06,-0.945291831995292,1.85215180492339e-11,SubgB_dominant,SubgB_dominant
ENSCCRG00000065677,ENSCCRG00000058678,ddx39aa,ddx39aa,11,10,CAJNDQ010000023.1,CAJNDQ010000028.1,9677.20053474818,-0.659028018066106,7.86464825898148e-05,-0.434529037174862,0.0142699396224732,SubgB_dominant,Balanced
ENSCCRG00000076625,ENSCCRG00000072391,poc1b,poc1b,14,13,CAJNDQ010000034.1,CAJNDQ010000038.1,419.391383401833,-0.660851158842556,0.0278714134208322,-1.1253595564266,0.0001875511057924,SubgB_dominant,SubgB_dominant
ENSCCRG00000046384,ENSCCRG00000038220,grinaa,grinaa,8,6,CAJNDQ010000032.1,CAJNDQ010000013.1,543.534217951911,-0.661278284292964,0.0049673214160167,-0.813834794607721,0.0005686297803593,SubgB_dominant,SubgB_dominant
ENSCCRG00000058133,ENSCCRG00000010698,sltm,sltm,23,21,CAJNDQ010000007.1,CAJNDQ010000001.1,2914.65361589674,-0.661286485144675,8.4902546927218e-09,-0.664481341520122,9.077486827535262e-09,SubgB_dominant,SubgB_dominant
ENSCCRG00000019056,ENSCCRG00000074871,,,9,10,CAJNDQ010000033.1,CAJNDQ010000025.1,511.996895325425,-0.661707733451276,0.0013197041239157,-0.265452054483867,0.262515086607838,SubgB_dominant,Balanced
ENSCCRG00000073975,ENSCCRG00000025713,,eif1b,3,5,CAJNDQ010000015.1,CAJNDQ010000041.1,7181.82188682326,-0.661764307477346,0.0002668959013107,-0.8114034293475,6.15969981734551e-06,SubgB_dominant,SubgB_dominant
ENSCCRG00000020109,ENSCCRG00000034003,lztr1,lztr1,23,22,CAJNDQ010000008.1,CAJNDQ010000016.1,517.544726661085,-0.662588846376783,8.28394469802692e-05,-0.347248376029721,0.0566181333090095,SubgB_dominant,Balanced
ENSCCRG00000012488,ENSCCRG00000036625,ap1b1,ap1b1,24,24,CAJNDQ010000008.1,CAJNDQ010000016.1,1349.66378259223,-0.66297118050276,5.74716156418527e-08,-0.73007340511687,9.38433177462233e-10,SubgB_dominant,SubgB_dominant
ENSCCRG00000041007,ENSCCRG00000048656,serinc2,serinc2,13,10,CAJNDQ010000032.1,CAJNDQ010000013.1,873.948330984921,-0.663266997725108,0.0114386587894814,0.236151384874443,0.46237583863966,SubgB_dominant,Balanced
ENSCCRG00000056899,ENSCCRG00000072614,anp32e,anp32e,7,8,CAJNDQ010000032.1,CAJNDQ010000013.1,8704.05491938297,-0.664591003612976,3.6677711159226e-06,-0.409573940241169,0.007130422740088,SubgB_dominant,Balanced
ENSCCRG00000003656,ENSCCRG00000072111,prpf38a,prpf38a,9,11,CAJNDQ010000017.1,CAJNDQ010000011.1,1852.81613753084,-0.665197469187948,0.0027222838009412,-1.13934413466051,1.18043977304324e-07,SubgB_dominant,SubgB_dominant
ENSCCRG00000056914,ENSCCRG00000005556,RASSF3,RASSF3,6,14,CAJNDQ010000037.1,CAJNDQ010000009.1,1178.03765523015,-0.665328373327268,0.0003915445950239,-1.60951931402875,1.9482435439928003e-18,SubgB_dominant,SubgB_dominant
ENSCCRG00000060829,ENSCCRG00000067457,gpr137c,gpr137c,7,7,CAJNDQ010000005.1,CAJNDQ010000031.1,728.959767610422,-0.665363909728401,0.0241395234061624,-1.27353605883416,1.60404146202957e-05,SubgB_dominant,SubgB_dominant
ENSCCRG00000082278,ENSCCRG00000013985,nck2a,nck2a,4,6,CAJNDQ010000042.1,CAJNDQ010000047.1,399.0780371592,-0.66553619454383,0.0405260577388922,-0.148521350892146,0.737217626417978,SubgB_dominant,Balanced
ENSCCRG00000035985,ENSCCRG00000016005,cdc123,cdc123,13,14,CAJNDQ010000037.1,CAJNDQ010000009.1,667.802441527136,-0.665646263577112,0.0007944504588682,-0.499116824198025,0.0182584326148931,SubgB_dominant,Balanced
