geneID_sgA,geneID_sgB,geneName_sgA,geneName_sgB,exonCountA,exonCountB,chrom_sgA,chrom_sgB,baseMean,log2FoldChange_S11_Lsom,padj_S11_Lsom,log2FoldChange_S12_Prehatch,padj_S12_Prehatch
ENSCCRG00000057187,ENSCCRG00000004368,slc25a19,slc25a19,8,8,CAJNDQ010000004.1,CAJNDQ010000002.1,522.652685542784,11.1201547806505,1.52350088714738e-19,11.7668244769573,1.1198494478795e-21
ENSCCRG00000034838,ENSCCRG00000057682,tesca,tesca,8,9,CAJNDQ010000008.1,CAJNDQ010000016.1,467.51729529055,11.0037835764188,5.5631887051069e-17,3.75458211815798,1.81381114019821e-09
ENSCCRG00000009452,ENSCCRG00000009484,polr3f,polr3f,9,7,CAJNDQ010000044.1,CAJNDQ010000006.1,342.341805236883,11.0022446265167,2.43368361884533e-19,11.0716149321687,1.81892926353145e-19
ENSCCRG00000027554,ENSCCRG00000070519,ogfod3,ogfod3,9,10,CAJNDQ010000045.1,CAJNDQ010000026.1,309.900884637466,10.9728614020509,4.68569586665875e-19,11.0216883857648,4.10457533831568e-19
ENSCCRG00000030746,ENSCCRG00000005011,rpl7l1,rpl7l1,7,6,CAJNDQ010000029.1,CAJNDQ010000035.1,714.930104690146,10.7801136827767,1.49704555120233e-35,11.90259265898,2.98261167339147e-25
ENSCCRG00000064196,ENSCCRG00000032386,ugt2a1,ugt2a1,12,9,CAJNDQ010000008.1,CAJNDQ010000016.1,201.637544543827,10.701632117374,5.40680733285751e-18,9.08777077689845,1.53179871191359e-24
ENSCCRG00000022334,ENSCCRG00000051210,,,9,10,CAJNDQ010000045.1,CAJNDQ010000026.1,152.017989514131,10.6392671764216,8.10853837535242e-18,9.73747629593469,5.31415030509123e-15
ENSCCRG00000058210,ENSCCRG00000038725,gstcd,gstcd,13,4,CAJNDQ010000023.1,CAJNDQ010000028.1,524.201067061102,10.4319297820467,1.97322411362543e-17,7.46339003010516,2.09256535288607e-17
ENSCCRG00000046608,ENSCCRG00000063497,zgc:101716,zgc:101716,7,7,CAJNDQ010000003.1,CAJNDQ010000048.1,327.304082282925,10.4047689536453,4.34592416228012e-17,9.73440992440189,5.5466433446992e-15
ENSCCRG00000022379,ENSCCRG00000068606,,,10,10,CAJNDQ010000022.1,CAJNDQ010000030.1,766.981671693887,10.1629041632016,1.62767565548928e-16,8.61403671680164,4.67080402272378e-12
ENSCCRG00000076069,ENSCCRG00000067725,kars1,kars1,15,14,CAJNDQ010000007.1,CAJNDQ010000001.1,2012.43732466771,10.0363585844199,9.98554427332094e-79,14.4669378498499,3.17930108008779e-29
ENSCCRG00000041533,ENSCCRG00000003018,tm4sf5,tm4sf5,7,5,CAJNDQ010000007.1,CAJNDQ010000001.1,251.706102910187,9.82035269694103,8.52101039627345e-13,8.06432733593346,7.88743580768463e-09
ENSCCRG00000077395,ENSCCRG00000002592,pigm,,6,7,CAJNDQ010000015.1,CAJNDQ010000041.1,208.498120829857,9.44253800042989,7.71799465647748e-19,7.34024882965827,4.30561195266502e-41
ENSCCRG00000042387,ENSCCRG00000041994,serac1,serac1,18,9,CAJNDQ010000029.1,CAJNDQ010000035.1,247.718880126565,9.41500593950104,3.02447081905762e-14,7.38587321952465,8.40705578266384e-17
ENSCCRG00000025490,ENSCCRG00000077534,dpydb,dpydb,24,25,CAJNDQ010000022.1,CAJNDQ010000030.1,273.225233925871,9.40792408698304,2.64147301694244e-50,8.6594097630027,5.09095104859461e-56
ENSCCRG00000067198,ENSCCRG00000048740,MRM1,,5,5,CAJNDQ010000008.1,CAJNDQ010000016.1,439.869808036617,9.37590068467984,4.05178889058602e-14,8.08768479695307,1.14286393837183e-10
ENSCCRG00000061992,ENSCCRG00000043110,nfu1,nfu1,8,6,CAJNDQ010000018.1,CAJNDQ010000024.1,184.42636368526,9.36844737914478,1.43436314360381e-23,8.97918044244042,5.56274292233658e-27
ENSCCRG00000077002,ENSCCRG00000058607,xrcc1,xrcc1,26,27,CAJNDQ010000003.1,CAJNDQ010000048.1,341.160702413306,9.33849105445863,3.39424338410675e-26,7.8665815079752,3.55280452495082e-24
ENSCCRG00000071276,ENSCCRG00000026195,,,15,4,CAJNDQ010000044.1,CAJNDQ010000006.1,241.303677841877,9.24562823887497,9.09607503923837e-14,9.45855446630328,2.7582406038901e-14
ENSCCRG00000061307,ENSCCRG00000029873,lancl1,lancl1,11,11,CAJNDQ010000023.1,CAJNDQ010000028.1,4060.94945907933,9.22121889064645,7.4493344659807e-19,9.00688740536638,6.20197129893121e-18
ENSCCRG00000017704,ENSCCRG00000017720,prxl2b,prxl2b,8,8,CAJNDQ010000043.1,CAJNDQ010000014.1,320.542555445181,9.18233553496281,3.16202929035369e-13,8.76810600189012,4.72202619109603e-12
ENSCCRG00000079560,ENSCCRG00000061733,,,15,7,CAJNDQ010000015.1,CAJNDQ010000041.1,332.555313890788,9.11819890386923,5.20197395212812e-26,4.98160650535103,5.24663519703645e-101
ENSCCRG00000076071,ENSCCRG00000027865,,,16,16,CAJNDQ010000034.1,CAJNDQ010000038.1,214.437370140784,8.82449087715189,5.77076406995289e-16,5.72080987262246,3.99043520466574e-16
ENSCCRG00000057418,ENSCCRG00000000614,,,7,5,CAJNDQ010000007.1,CAJNDQ010000001.1,216.911768397909,8.6530092379949,8.68649947351384e-12,7.80675088597611,1.18571738110947e-09
ENSCCRG00000033672,ENSCCRG00000033550,SERGEF,SERGEF,12,11,CAJNDQ010000034.1,CAJNDQ010000038.1,208.18087698879,8.59680161197785,8.51826942140994e-12,9.51742606732682,3.37495621686107e-14
ENSCCRG00000000303,ENSCCRG00000048080,slc17a7a,slc17a7a,17,13,CAJNDQ010000004.1,CAJNDQ010000002.1,2345.4370564692,8.57053299095044,1.1885608891899e-58,6.76647797066259,3.63569305164076e-107
ENSCCRG00000076352,ENSCCRG00000055975,pycr1a,pycr1a,8,5,CAJNDQ010000004.1,CAJNDQ010000002.1,178.854106923001,8.56204042113612,1.20345867970715e-15,7.60438712083209,2.10528144108436e-23
ENSCCRG00000059985,ENSCCRG00000002242,hnmt,hnmt,7,8,CAJNDQ010000042.1,CAJNDQ010000047.1,343.065684931161,8.5145960794092,1.73678132157914e-14,12.406753500983,6.50540913629441e-23
ENSCCRG00000012692,ENSCCRG00000067921,,,21,21,CAJNDQ010000044.1,CAJNDQ010000006.1,360.296913342542,8.464128190706,5.57660855825807e-11,5.66256476117864,1.89751017196935e-20
ENSCCRG00000033890,ENSCCRG00000032280,,,22,19,CAJNDQ010000008.1,CAJNDQ010000016.1,184.355968518523,8.43600115709487,2.55595636466959e-33,9.52614229051419,1.44688358304892e-18
ENSCCRG00000056010,ENSCCRG00000071597,,,9,4,CAJNDQ010000004.1,CAJNDQ010000002.1,419.25970985783,8.29117259045451,4.74785489473644e-34,5.89374350142979,2.03689887935729e-25
ENSCCRG00000075937,ENSCCRG00000061730,acaa1,acaa1,14,6,CAJNDQ010000015.1,CAJNDQ010000041.1,241.939844583077,7.9641957017231,1.98205267928906e-17,7.74692915763004,1.51030037596949e-24
ENSCCRG00000075000,ENSCCRG00000006907,cabp1a,cabp1a,12,7,CAJNDQ010000018.1,CAJNDQ010000024.1,648.510155777223,7.85167497486388,6.38025480132395e-40,7.07875814988955,6.5169371053415e-88
ENSCCRG00000075903,ENSCCRG00000067996,mogat2,mogat2,7,7,CAJNDQ010000033.1,CAJNDQ010000025.1,514.248597686837,7.81846722288065,1.9012161515933e-119,5.51176826628877,2.73171741615277e-64
ENSCCRG00000039457,ENSCCRG00000008992,diablob,diablob,7,7,CAJNDQ010000039.1,CAJNDQ010000046.1,378.929948873689,7.72165765270265,1.19244105800883e-23,5.86646576415295,1.97918595669143e-37
ENSCCRG00000001156,ENSCCRG00000042925,krt1-c5,krt1-c5,11,15,CAJNDQ010000008.1,CAJNDQ010000016.1,220.763498416897,7.70498727216159,4.84339229529362e-63,3.22330792066683,1.97250922924385e-22
ENSCCRG00000071241,ENSCCRG00000029931,si:ch211-216p19.6,si:ch211-216p19.6,14,6,CAJNDQ010000007.1,CAJNDQ010000001.1,369.829558141432,7.683817124449,1.26484752096969e-53,7.46790607589727,6.28618490232813e-60
ENSCCRG00000058708,ENSCCRG00000077157,DMGDH,DMGDH,24,13,CAJNDQ010000039.1,CAJNDQ010000046.1,3835.03592477999,7.55726490434678,1.68266997902532e-153,8.02245958736053,3.16775580320227e-169
ENSCCRG00000007377,ENSCCRG00000067412,,,3,3,CAJNDQ010000003.1,CAJNDQ010000048.1,386.447355965688,7.53026855571296,0.000146619447427216,1.06131990624485,0.617482521352935
ENSCCRG00000006874,ENSCCRG00000076372,,,9,5,CAJNDQ010000034.1,CAJNDQ010000038.1,651.120511882613,7.51908219387358,7.21396285240925e-30,8.29923662528809,9.39068585027765e-26
ENSCCRG00000080038,ENSCCRG00000054617,,,9,1,CAJNDQ010000018.1,CAJNDQ010000024.1,340.594867704064,7.45998858970061,4.0837276813297e-50,6.91852732769226,6.98605936627053e-59
ENSCCRG00000044317,ENSCCRG00000046720,,,7,7,CAJNDQ010000043.1,CAJNDQ010000014.1,154.305096840142,7.3062246878755,2.34292927842609e-08,7.80481771787833,2.33276435448785e-09
ENSCCRG00000074908,ENSCCRG00000070637,,,15,8,CAJNDQ010000039.1,CAJNDQ010000046.1,214.92306091891,7.30516453868609,2.22382783884838e-15,8.32467940650102,1.39607915306443e-18
ENSCCRG00000022386,ENSCCRG00000034479,aldh1l1,aldh1l1,23,24,CAJNDQ010000017.1,CAJNDQ010000011.1,349.305018553006,7.29430672801675,2.85511423426932e-22,6.82100417112314,8.59836849599073e-21
ENSCCRG00000057177,ENSCCRG00000028585,,,48,46,CAJNDQ010000032.1,CAJNDQ010000013.1,214.245294275436,7.23725946149658,1.08125581387148e-09,10.6719518459391,5.50172353257344e-17
ENSCCRG00000040782,ENSCCRG00000003098,ttll12,ttll12,13,14,CAJNDQ010000037.1,CAJNDQ010000009.1,274.542339367171,7.19359060782032,3.44511222208593e-31,10.663375498548,1.31690065577386e-16
ENSCCRG00000076123,ENSCCRG00000032512,zgc:162780,zgc:162780,13,7,CAJNDQ010000042.1,CAJNDQ010000047.1,290.858043071542,7.18208516757455,2.96050099592097e-60,10.8397061397439,3.0829653906846e-18
ENSCCRG00000023609,ENSCCRG00000041975,,,21,3,CAJNDQ010000017.1,CAJNDQ010000011.1,684.781019342059,7.15040936322317,5.75159681596623e-44,7.82243799217028,8.9298550660396e-42
ENSCCRG00000066110,ENSCCRG00000068559,,,9,6,CAJNDQ010000045.1,CAJNDQ010000026.1,433.65570334231,7.14717363038856,8.1951291167508e-32,8.00158136167382,1.09605102600447e-28
ENSCCRG00000062564,ENSCCRG00000070500,kcnk5a,kcnk5a,5,7,CAJNDQ010000005.1,CAJNDQ010000031.1,234.133891329696,7.09725144936825,2.93566529670275e-15,4.99729949398373,4.82012649105589e-19
ENSCCRG00000016182,ENSCCRG00000022014,ddc,ddc,15,14,CAJNDQ010000003.1,CAJNDQ010000048.1,1754.04031764638,7.0362140063365,1.68301558005688e-85,3.9522590871182,1.10584111332057e-28
ENSCCRG00000002834,ENSCCRG00000067608,,,10,8,CAJNDQ010000010.1,CAJNDQ010000020.1,389.731127355385,7.01991982932178,8.62703029542533e-141,7.65550921147415,1.23230991601958e-92
ENSCCRG00000032681,ENSCCRG00000055138,smarca2,smarca2,36,35,CAJNDQ010000008.1,CAJNDQ010000016.1,403.422478149661,6.93371320128246,2.36457790404329e-31,5.69448139913224,1.06883093118014e-33
ENSCCRG00000018267,ENSCCRG00000054275,ucp1,ucp1,8,7,CAJNDQ010000023.1,CAJNDQ010000028.1,730.414883446304,6.918002928572,1.1832444071391e-17,1.55101118710723,0.0953596744339673
ENSCCRG00000071842,ENSCCRG00000068549,s100t,s100t,5,4,CAJNDQ010000003.1,CAJNDQ010000048.1,363.955377118572,6.74811953798438,2.83394397586163e-18,3.88009502655827,5.28216240205447e-07
ENSCCRG00000051962,ENSCCRG00000051921,,,16,13,CAJNDQ010000015.1,CAJNDQ010000041.1,171.343818794735,6.66969728688698,1.21138347069337e-37,4.52571167561648,1.79977220478614e-32
ENSCCRG00000041446,ENSCCRG00000059925,,AADAT,14,10,CAJNDQ010000007.1,CAJNDQ010000001.1,596.890909258319,6.50350238430683,2.81191289559718e-47,6.29582329429826,2.12053705596217e-47
ENSCCRG00000040726,ENSCCRG00000011107,si:dkey-6n6.1,si:dkey-6n6.1,13,10,CAJNDQ010000018.1,CAJNDQ010000024.1,444.311778243647,6.45435433151195,8.08722685591882e-58,2.92082100538661,3.46004777514473e-16
ENSCCRG00000070801,ENSCCRG00000060371,,,76,60,CAJNDQ010000023.1,CAJNDQ010000028.1,616.159642601938,6.3563665349331,2.76604805115928e-28,5.94466990940577,1.15964160804818e-23
ENSCCRG00000034064,ENSCCRG00000046363,f5,f5,27,27,CAJNDQ010000042.1,CAJNDQ010000047.1,1990.97398642539,6.32185737380798,1.72065935682168e-105,2.93823017530086,1.48109766788837e-24
ENSCCRG00000016805,ENSCCRG00000020422,rhcgb,rhcgb,11,11,CAJNDQ010000034.1,CAJNDQ010000038.1,247.545416940151,6.31662328862919,1.8801315509942e-21,3.35419080961091,4.53822105886112e-08
ENSCCRG00000071214,ENSCCRG00000044089,mapk12b,mapk12b,14,13,CAJNDQ010000037.1,CAJNDQ010000009.1,693.697628402808,6.26531171244377,1.3375275104086e-15,4.50674766005552,5.46433867266392e-09
ENSCCRG00000081208,ENSCCRG00000046913,f2rl1.1,f2rl1.1,4,3,CAJNDQ010000039.1,CAJNDQ010000046.1,2142.46747404587,6.24090158866826,5.01057886480767e-72,6.18542071574474,2.53552989131779e-42
ENSCCRG00000063578,ENSCCRG00000060547,JPH1,JPH1,10,5,CAJNDQ010000015.1,CAJNDQ010000041.1,996.886358846303,6.21490963857793,4.58958358255991e-36,2.67006081583271,1.32313487047237e-08
ENSCCRG00000056047,ENSCCRG00000078355,,,43,42,CAJNDQ010000008.1,CAJNDQ010000016.1,3221.75067714394,6.15643390011025,0.0129499501707362,6.32490701551779,0.0119024736292095
ENSCCRG00000054618,ENSCCRG00000058506,tktb,tktb,15,24,CAJNDQ010000012.1,CAJNDQ010000050.1,8745.91977915151,6.15579226177434,2.86386909966025e-52,4.03038189873143,8.02002378937572e-23
ENSCCRG00000017014,ENSCCRG00000052611,ap5m1,ap5m1,13,8,CAJNDQ010000005.1,CAJNDQ010000031.1,881.525664209222,6.13864305961891,2.7229883585219e-119,5.38699892995157,3.48768669484907e-153
ENSCCRG00000015848,ENSCCRG00000079688,atp2b1b,atp2b1b,34,23,CAJNDQ010000034.1,CAJNDQ010000038.1,285.954674685952,6.03958724572402,4.59952872153797e-37,4.02974134448209,6.35973083648321e-26
ENSCCRG00000067911,ENSCCRG00000005976,rnf139,rnf139,2,2,CAJNDQ010000032.1,CAJNDQ010000013.1,307.617744486387,6.02456452631459,4.96849687271745e-41,4.6064321304519,1.11613644782327e-47
ENSCCRG00000065139,ENSCCRG00000010307,atp6v1ba,atp6v1ba,15,15,CAJNDQ010000005.1,CAJNDQ010000031.1,905.372596155121,6.01848813360141,2.3476311338921e-195,5.36201455022466,8.23442818900613e-157
ENSCCRG00000006577,ENSCCRG00000060521,,,8,2,CAJNDQ010000005.1,CAJNDQ010000031.1,254.724797442645,5.98812539953845,1.85040782984244e-11,4.58017239647153,2.67040207832101e-11
ENSCCRG00000037627,ENSCCRG00000003497,,,11,11,CAJNDQ010000003.1,CAJNDQ010000048.1,162.644208625894,5.98282749201851,3.64794759496977e-26,0.965549262351839,0.134090566654094
ENSCCRG00000073185,ENSCCRG00000068605,ponzr2,ponzr2,4,4,CAJNDQ010000033.1,CAJNDQ010000025.1,779.599033542336,5.91665367660987,1.75200611650263e-27,8.64453224384274,8.0651907671006e-12
ENSCCRG00000058082,ENSCCRG00000060722,,,6,8,CAJNDQ010000003.1,CAJNDQ010000048.1,169.646380829403,5.88216398192501,9.11246114418534e-07,2.15010992573381,0.000317678951937227
ENSCCRG00000033872,ENSCCRG00000079822,,,17,6,CAJNDQ010000021.1,CAJNDQ010000036.1,373.636360618392,5.86009642199549,3.26183113401944e-26,6.07263456923547,4.85375174322042e-30
ENSCCRG00000056020,ENSCCRG00000044264,hmga1b,hmga1b,9,4,CAJNDQ010000017.1,CAJNDQ010000011.1,282.918954067444,5.8246110560877,2.57878783283432e-30,4.80182542857108,2.17850099103322e-38
ENSCCRG00000056506,ENSCCRG00000035669,soat1,soat1,16,17,CAJNDQ010000018.1,CAJNDQ010000024.1,403.664010830286,5.82245510536438,6.26904364114805e-78,3.11303561186033,4.78583431516384e-25
ENSCCRG00000064007,ENSCCRG00000018946,,,15,6,CAJNDQ010000045.1,CAJNDQ010000026.1,716.103562065195,5.74015836794521,3.28928897431452e-150,5.03087670691357,4.65128855001414e-133
ENSCCRG00000020877,ENSCCRG00000059447,sox12,sox12,7,2,CAJNDQ010000043.1,CAJNDQ010000014.1,467.853633990874,5.73506390473422,4.47375124629151e-26,1.09242759096669,0.0619292408568897
ENSCCRG00000064539,ENSCCRG00000025773,zp3e,,9,7,CAJNDQ010000004.1,CAJNDQ010000002.1,465.077381687223,5.69823602073284,0.000142065399478298,4.33226401315261,0.00811648749992336
ENSCCRG00000021478,ENSCCRG00000022260,ERCC6,ERCC6,21,22,CAJNDQ010000019.1,CAJNDQ010000049.1,187.39368832146,5.66435743639086,2.45840541370143e-52,6.18099524304134,1.38273228864979e-59
ENSCCRG00000070833,ENSCCRG00000063392,txndc9,txndc9,5,6,CAJNDQ010000042.1,CAJNDQ010000047.1,888.616042988544,5.65747369504986,5.18706044619942e-69,5.76808649705896,2.27941464879693e-73
ENSCCRG00000031987,ENSCCRG00000048158,mxra8b,mxra8b,14,10,CAJNDQ010000012.1,CAJNDQ010000050.1,204.324261681193,5.55229863888495,1.07215311335068e-31,4.01608840446831,1.18183854607813e-23
ENSCCRG00000007769,ENSCCRG00000053027,abhd14b,abhd14b,4,3,CAJNDQ010000017.1,CAJNDQ010000011.1,212.660491057572,5.54888431309732,3.69710899898357e-16,5.21118440478207,8.25897993796619e-17
ENSCCRG00000012299,ENSCCRG00000012243,riok1,riok1,17,18,CAJNDQ010000022.1,CAJNDQ010000030.1,530.200593588305,5.51307678700515,2.02485622461635e-38,6.31139441575271,6.26450936483153e-43
ENSCCRG00000060167,ENSCCRG00000026528,,,10,11,CAJNDQ010000008.1,CAJNDQ010000016.1,544.451824327856,5.48574874079264,1.5117220839021e-65,5.30828121661561,4.05678592540361e-57
ENSCCRG00000039697,ENSCCRG00000029964,,,5,2,CAJNDQ010000039.1,CAJNDQ010000046.1,173.009125480342,5.44158849385863,8.88438322209832e-28,5.25874122468511,3.13382682856046e-25
ENSCCRG00000063738,ENSCCRG00000070134,,,3,3,CAJNDQ010000004.1,CAJNDQ010000002.1,314.453151072036,5.41349318556668,1.34301230977393e-49,6.2791278942719,4.95601399281945e-50
ENSCCRG00000068821,ENSCCRG00000020211,gpd1b,gpd1b,9,10,CAJNDQ010000044.1,CAJNDQ010000006.1,1340.84347361614,5.35232886573732,1.75954818696916e-14,5.19355023817401,1.38537071953187e-13
ENSCCRG00000067159,ENSCCRG00000063200,vps8,vps8,45,44,CAJNDQ010000023.1,CAJNDQ010000028.1,178.424097930042,5.33140892198793,9.34138577317047e-37,4.04852498381287,1.0622430512681e-24
ENSCCRG00000057927,ENSCCRG00000005755,lgalsla,lgalsla,6,6,CAJNDQ010000023.1,CAJNDQ010000028.1,229.554801300118,5.32605384261592,3.01337054610379e-15,4.5648438865243,1.09110039890946e-21
ENSCCRG00000039672,ENSCCRG00000052414,utp25,utp25,13,11,CAJNDQ010000019.1,CAJNDQ010000049.1,395.301873782744,5.29202582264782,3.16533463166349e-61,5.70133436392281,9.17843994170914e-60
ENSCCRG00000013508,ENSCCRG00000071827,,,6,11,CAJNDQ010000012.1,CAJNDQ010000050.1,181.536948497083,5.27777536207295,2.25166779386833e-28,5.3307400461714,2.12053705596217e-47
ENSCCRG00000045240,ENSCCRG00000014700,,,21,21,CAJNDQ010000040.1,CAJNDQ010000027.1,3022.44511648031,5.26707909009159,1.97350602184239e-35,3.92207774556281,3.83764234673769e-22
ENSCCRG00000071202,ENSCCRG00000023207,,,15,16,CAJNDQ010000010.1,CAJNDQ010000020.1,2215.76978160586,5.21520872651934,1.6457493913811e-40,4.92715820268474,3.08727835094804e-36
ENSCCRG00000072702,ENSCCRG00000070205,ACSS3,ACSS3,17,18,CAJNDQ010000037.1,CAJNDQ010000009.1,286.319708419723,5.19318337907719,1.64825464665162e-42,6.01300737207739,4.29983997969252e-49
ENSCCRG00000013408,ENSCCRG00000079303,,,41,40,CAJNDQ010000022.1,CAJNDQ010000030.1,1114.06283532403,5.18767537733854,1.26018269475006e-106,2.65843384918396,9.68817210642026e-30
ENSCCRG00000068260,ENSCCRG00000041621,ponzr5,ponzr5,5,4,CAJNDQ010000007.1,CAJNDQ010000001.1,516.656716249348,5.18761661357652,2.50421067332791e-54,2.15555717431977,6.58111702060617e-11
ENSCCRG00000072526,ENSCCRG00000040640,gabrr2a,gabrr2a,16,10,CAJNDQ010000005.1,CAJNDQ010000031.1,156.176078761167,5.15819897991215,5.91483586674082e-11,4.60260141584002,3.6045325557735e-14
ENSCCRG00000030149,ENSCCRG00000070356,mrap2b,mrap2b,4,4,CAJNDQ010000037.1,CAJNDQ010000009.1,2307.76343903201,5.15744735822716,9.88319317983363e-05,3.58403630485158,0.017883079497773
ENSCCRG00000015791,ENSCCRG00000029331,zgc:77880,zgc:77880,17,9,CAJNDQ010000023.1,CAJNDQ010000028.1,582.01379370271,5.15093973604066,1.62101225862968e-34,5.25102442582511,3.09915098908457e-35
ENSCCRG00000021130,ENSCCRG00000010905,,,12,13,CAJNDQ010000032.1,CAJNDQ010000013.1,172.722994371309,5.07489213437205,1.95714795756415e-06,4.12316733308148,0.000204074824034747
ENSCCRG00000023071,ENSCCRG00000037745,brd8b,brd8b,21,22,CAJNDQ010000021.1,CAJNDQ010000036.1,1227.2717699769,5.06586595948439,1.81296824923799e-42,4.31855096143782,5.63122047190254e-33
ENSCCRG00000072108,ENSCCRG00000061234,lta4h,lta4h,21,20,CAJNDQ010000037.1,CAJNDQ010000009.1,768.192514204231,5.03369214776262,1.59989699464375e-32,5.42572156809941,4.38540350924359e-39
ENSCCRG00000005996,ENSCCRG00000029070,dennd6b,dennd6b,21,16,CAJNDQ010000037.1,CAJNDQ010000009.1,2086.55035371443,4.96125857768841,1.69188848356129e-29,3.56872818240401,4.98298995309908e-46
ENSCCRG00000038014,ENSCCRG00000082616,,,18,14,CAJNDQ010000003.1,CAJNDQ010000048.1,2604.58923751621,4.94797945686421,5.88029777388001e-234,4.06594244943741,4.60714954642216e-164
ENSCCRG00000039155,ENSCCRG00000004599,,,12,13,CAJNDQ010000008.1,CAJNDQ010000016.1,3006.57341564317,4.94381347994203,1.36998830805912e-82,3.99474898047022,1.43347702386454e-53
ENSCCRG00000026526,ENSCCRG00000026167,rasa4,rasa4,22,23,CAJNDQ010000008.1,CAJNDQ010000016.1,421.718201864106,4.89032892619912,9.87975044602081e-55,3.00040876982822,5.35318255470724e-22
ENSCCRG00000021598,ENSCCRG00000045441,lap3,lap3,14,10,CAJNDQ010000023.1,CAJNDQ010000028.1,457.228500661717,4.84630759566702,2.15287474428993e-47,6.14336536726661,4.48217828863913e-63
ENSCCRG00000070262,ENSCCRG00000055727,,,36,25,CAJNDQ010000012.1,CAJNDQ010000050.1,685.740753404853,4.82274844481784,9.00574200410443e-98,6.04453645041702,2.0648019928397e-152
ENSCCRG00000013564,ENSCCRG00000050175,fam133b,fam133b,9,5,CAJNDQ010000032.1,CAJNDQ010000013.1,901.778463919889,4.8116927301134,2.5420269098325e-91,5.4585339923149,1.17925389409197e-95
ENSCCRG00000039519,ENSCCRG00000039481,ldhd,ldhd,12,12,CAJNDQ010000034.1,CAJNDQ010000038.1,170.067569440962,4.78317375900654,3.53433886753588e-34,3.42181175711192,2.93976010891076e-25
ENSCCRG00000057768,ENSCCRG00000014588,,,8,10,CAJNDQ010000032.1,CAJNDQ010000013.1,205.707914774953,4.74843280299114,1.33343084041479e-18,5.78412157208805,1.36464816973356e-21
ENSCCRG00000039373,ENSCCRG00000009541,sfswap,sfswap,18,7,CAJNDQ010000039.1,CAJNDQ010000046.1,925.759854392484,4.7097946648241,3.32749418324682e-133,4.43931610238473,1.19816539734776e-118
ENSCCRG00000027230,ENSCCRG00000012581,,,21,20,CAJNDQ010000044.1,CAJNDQ010000006.1,254.130538507194,4.63786286621171,4.82751853757829e-15,2.42413879978018,8.9109362381146e-05
ENSCCRG00000035272,ENSCCRG00000061913,pcgf5b,pcgf5b,9,10,CAJNDQ010000045.1,CAJNDQ010000026.1,175.0628559576,4.57530792735859,6.49947603639352e-05,0.109908030623576,0.933370424635854
ENSCCRG00000039134,ENSCCRG00000059407,nbas,nbas,52,54,CAJNDQ010000029.1,CAJNDQ010000035.1,401.938926627755,4.57089002974089,2.45469988370899e-13,5.9521529641343,9.9865733171511e-21
ENSCCRG00000033485,ENSCCRG00000050826,trip4,trip4,14,12,CAJNDQ010000007.1,CAJNDQ010000001.1,164.264943457538,4.56969514398559,9.57143142171533e-36,6.45597631419094,1.38560846104132e-47
