Gene stable ID	Common carp gene name	Gene name	Common carp gene stable ID	Common carp orthology confidence [0 low, 1 high]	Common carp homology type
ENSDARG00000003818	prkag1	prkag1	ENSCCRG00000010542	1	ortholog_one2many
ENSDARG00000019156	haus5	haus5	ENSCCRG00000062060	1	ortholog_one2many
ENSDARG00000019156	haus5	haus5	ENSCCRG00000010931	1	ortholog_one2many
ENSDARG00000038615	pip4p1a	pip4p1a	ENSCCRG00000018479	1	ortholog_one2many
ENSDARG00000038615	pip4p1a	pip4p1a	ENSCCRG00000013899	1	ortholog_one2many
ENSDARG00000034734	med6	med6	ENSCCRG00000040658	1	ortholog_one2many
ENSDARG00000034734	med6	med6	ENSCCRG00000060643	1	ortholog_one2many
ENSDARG00000105120	gab2	gab2	ENSCCRG00000077537	1	ortholog_one2many
ENSDARG00000105120	gab2	gab2	ENSCCRG00000025102	1	ortholog_one2many
ENSDARG00000010717	chchd10	chchd10	ENSCCRG00000017059	1	ortholog_one2many
ENSDARG00000010717	chchd10	chchd10	ENSCCRG00000017056	1	ortholog_one2many
ENSDARG00000020449	yipf3	yipf3	ENSCCRG00000043721	1	ortholog_one2many
ENSDARG00000020449	yipf3	yipf3	ENSCCRG00000014201	1	ortholog_one2many
ENSDARG00000038792	klf17	klf17	ENSCCRG00000036337	1	ortholog_one2many
ENSDARG00000038792	klf17	klf17	ENSCCRG00000019798	1	ortholog_one2many
ENSDARG00000078686	arl8a	arl8a	ENSCCRG00000032453	1	ortholog_one2many
ENSDARG00000078686	arl8a	arl8a	ENSCCRG00000068699	1	ortholog_one2many
ENSDARG00000076025		DGKZ	ENSCCRG00000018816	1	ortholog_one2many
ENSDARG00000076025		DGKZ	ENSCCRG00000081100	1	ortholog_one2many
ENSDARG00000009253	rtraf	rtraf	ENSCCRG00000003563	1	ortholog_one2many
ENSDARG00000009253	rtraf	rtraf	ENSCCRG00000080546	1	ortholog_one2many
ENSDARG00000098257	pcdh15a	pcdh15a	ENSCCRG00000021498	1	ortholog_one2many
ENSDARG00000098257	pcdh15a	pcdh15a	ENSCCRG00000068216	1	ortholog_one2many
ENSDARG00000078717	itga8	itga8	ENSCCRG00000033182	1	ortholog_one2many
ENSDARG00000078717	itga8	itga8	ENSCCRG00000069153	1	ortholog_one2many
ENSDARG00000024219	cdk5rap2	cdk5rap2	ENSCCRG00000017077	1	ortholog_one2many
ENSDARG00000024219	cdk5rap2	cdk5rap2	ENSCCRG00000000618	1	ortholog_one2many
ENSDARG00000102612	slc15a4	slc15a4	ENSCCRG00000020883	1	ortholog_one2many
ENSDARG00000102612	slc15a4	slc15a4	ENSCCRG00000060412	1	ortholog_one2many
ENSDARG00000052846	fsta	fsta	ENSCCRG00000036960	1	ortholog_one2many
ENSDARG00000052846	fsta	fsta	ENSCCRG00000021985	1	ortholog_one2many
ENSDARG00000100531	abhd14b	abhd14b	ENSCCRG00000053027	1	ortholog_one2many
ENSDARG00000100531	abhd14b	abhd14b	ENSCCRG00000007769	1	ortholog_one2many
ENSDARG00000055445	slc22a15	slc22a15	ENSCCRG00000047239	1	ortholog_one2many
ENSDARG00000055445	slc22a15	slc22a15	ENSCCRG00000021809	1	ortholog_one2many
ENSDARG00000045070	itgb3b	itgb3b	ENSCCRG00000022120	1	ortholog_one2many
ENSDARG00000045070	itgb3b	itgb3b	ENSCCRG00000048051	1	ortholog_one2many
ENSDARG00000023111	plg	plg	ENSCCRG00000049578	1	ortholog_one2many
ENSDARG00000023111	plg	plg	ENSCCRG00000030183	1	ortholog_one2many
ENSDARG00000040930	deptor	deptor	ENSCCRG00000012964	1	ortholog_one2many
ENSDARG00000040930	deptor	deptor	ENSCCRG00000075215	1	ortholog_one2many
ENSDARG00000099685	gnb5a	gnb5a	ENSCCRG00000032711	1	ortholog_one2many
ENSDARG00000099685	gnb5a	gnb5a	ENSCCRG00000004494	1	ortholog_one2many
ENSDARG00000077778	adamts9	adamts9	ENSCCRG00000039031	1	ortholog_one2many
ENSDARG00000077778	adamts9	adamts9	ENSCCRG00000040660	1	ortholog_one2many
ENSDARG00000029905	phyhd1	phyhd1	ENSCCRG00000082685	1	ortholog_one2many
ENSDARG00000029905	phyhd1	phyhd1	ENSCCRG00000067601	1	ortholog_one2many
ENSDARG00000077581	zzz3	zzz3	ENSCCRG00000065568	1	ortholog_one2many
ENSDARG00000077581	zzz3	zzz3	ENSCCRG00000066327	1	ortholog_one2many
ENSDARG00000018593	parp16	parp16	ENSCCRG00000024918	1	ortholog_one2many
ENSDARG00000018593	parp16	parp16	ENSCCRG00000025129	1	ortholog_one2many
ENSDARG00000004296	ambp	ambp	ENSCCRG00000009879	1	ortholog_one2many
ENSDARG00000004296	ambp	ambp	ENSCCRG00000040818	1	ortholog_one2many
ENSDARG00000041078	chka	chka	ENSCCRG00000008909	1	ortholog_one2many
ENSDARG00000041078	chka	chka	ENSCCRG00000059423	1	ortholog_one2many
ENSDARG00000040021	ebag9	ebag9	ENSCCRG00000054314	1	ortholog_one2many
ENSDARG00000040021	ebag9	ebag9	ENSCCRG00000074531	1	ortholog_one2many
ENSDARG00000032264	mybl2b	mybl2b	ENSCCRG00000004062	1	ortholog_one2many
ENSDARG00000032264	mybl2b	mybl2b	ENSCCRG00000034743	1	ortholog_one2many
ENSDARG00000056331	ahcyl1	ahcyl1	ENSCCRG00000030293	1	ortholog_one2many
ENSDARG00000056331	ahcyl1	ahcyl1	ENSCCRG00000029242	1	ortholog_one2many
ENSDARG00000010472	atp1a2a	atp1a2a	ENSCCRG00000060672	1	ortholog_one2many
ENSDARG00000010472	atp1a2a	atp1a2a	ENSCCRG00000075101	1	ortholog_one2many
ENSDARG00000103155	ext1a	ext1a	ENSCCRG00000069191	1	ortholog_one2many
ENSDARG00000103155	ext1a	ext1a	ENSCCRG00000019432	1	ortholog_one2many
ENSDARG00000019235	sema3aa	sema3aa	ENSCCRG00000002617	1	ortholog_one2many
ENSDARG00000019235	sema3aa	sema3aa	ENSCCRG00000010714	1	ortholog_one2many
ENSDARG00000055472	nubp1	nubp1	ENSCCRG00000040946	1	ortholog_one2many
ENSDARG00000055472	nubp1	nubp1	ENSCCRG00000040951	1	ortholog_one2many
ENSDARG00000056921	ankk1	ankk1	ENSCCRG00000009820	1	ortholog_one2many
ENSDARG00000056921	ankk1	ankk1	ENSCCRG00000071138	1	ortholog_one2many
ENSDARG00000088764	lyplal1	lyplal1	ENSCCRG00000010384	1	ortholog_one2many
ENSDARG00000088764	lyplal1	lyplal1	ENSCCRG00000058835	1	ortholog_one2many
ENSDARG00000033754	rbm48	rbm48	ENSCCRG00000040886	1	ortholog_one2many
ENSDARG00000033754	rbm48	rbm48	ENSCCRG00000002232	1	ortholog_one2many
ENSDARG00000002184	igbp1	igbp1	ENSCCRG00000029727	1	ortholog_one2many
ENSDARG00000002184	igbp1	igbp1	ENSCCRG00000004755	1	ortholog_one2many
ENSDARG00000015681	gsk3ab	gsk3ab	ENSCCRG00000056487	1	ortholog_one2many
ENSDARG00000015681	gsk3ab	gsk3ab	ENSCCRG00000005989	1	ortholog_one2many
ENSDARG00000070846	dazap1	dazap1	ENSCCRG00000080663	1	ortholog_one2many
ENSDARG00000070846	dazap1	dazap1	ENSCCRG00000068688	1	ortholog_one2many
ENSDARG00000009754	zc3h11a	zc3h11a	ENSCCRG00000022259	1	ortholog_one2many
ENSDARG00000009754	zc3h11a	zc3h11a	ENSCCRG00000020316	1	ortholog_one2many
ENSDARG00000063155	dcaf12	dcaf12	ENSCCRG00000011905	1	ortholog_one2many
ENSDARG00000063155	dcaf12	dcaf12	ENSCCRG00000003285	1	ortholog_one2many
ENSDARG00000060036	aimp1a	aimp1a	ENSCCRG00000074903	1	ortholog_one2many
ENSDARG00000060036	aimp1a	aimp1a	ENSCCRG00000043575	1	ortholog_one2many
ENSDARG00000019098	cd82a	cd82a	ENSCCRG00000024586	1	ortholog_one2many
ENSDARG00000019098	cd82a	cd82a	ENSCCRG00000003921	1	ortholog_one2many
ENSDARG00000037962	psmb7	psmb7	ENSCCRG00000046505	1	ortholog_one2many
ENSDARG00000037962	psmb7	psmb7	ENSCCRG00000074098	1	ortholog_one2many
ENSDARG00000015566	dnmt3ab	dnmt3ab	ENSCCRG00000026851	1	ortholog_one2many
ENSDARG00000015566	dnmt3ab	dnmt3ab	ENSCCRG00000008419	1	ortholog_one2many
ENSDARG00000069245	matn3a	matn3a	ENSCCRG00000075805	1	ortholog_one2many
ENSDARG00000069245	matn3a	matn3a	ENSCCRG00000042267	1	ortholog_one2many
ENSDARG00000009350	atg3	atg3	ENSCCRG00000036537	1	ortholog_one2many
ENSDARG00000009350	atg3	atg3	ENSCCRG00000012433	1	ortholog_one2many
ENSDARG00000010956	sh3glb1b	sh3glb1b	ENSCCRG00000058137	1	ortholog_one2many
ENSDARG00000010956	sh3glb1b	sh3glb1b	ENSCCRG00000008938	1	ortholog_one2many
ENSDARG00000042151	skia	skia	ENSCCRG00000082769	1	ortholog_one2many
ENSDARG00000042151	skia	skia	ENSCCRG00000066503	1	ortholog_one2many
ENSDARG00000018898	zfand5a	zfand5a	ENSCCRG00000061837	1	ortholog_one2many
ENSDARG00000018898	zfand5a	zfand5a	ENSCCRG00000053528	1	ortholog_one2many
ENSDARG00000052164	znf507	znf507	ENSCCRG00000056447	1	ortholog_one2many
ENSDARG00000052164	znf507	znf507	ENSCCRG00000055316	1	ortholog_one2many
ENSDARG00000036080	cd81a	cd81a	ENSCCRG00000055455	1	ortholog_one2many
ENSDARG00000036080	cd81a	cd81a	ENSCCRG00000053775	1	ortholog_one2many
ENSDARG00000071679	mydgf	mydgf	ENSCCRG00000074169	1	ortholog_one2many
ENSDARG00000071679	mydgf	mydgf	ENSCCRG00000031450	1	ortholog_one2many
ENSDARG00000086457	tnfaip8l1	tnfaip8l1	ENSCCRG00000057448	1	ortholog_one2many
ENSDARG00000086457	tnfaip8l1	tnfaip8l1	ENSCCRG00000072675	1	ortholog_one2many
ENSDARG00000032552	marchf5	marchf5	ENSCCRG00000012963	1	ortholog_one2many
ENSDARG00000032552	marchf5	marchf5	ENSCCRG00000025030	1	ortholog_one2many
ENSDARG00000015862	rpl5b	rpl5b	ENSCCRG00000029284	1	ortholog_one2many
ENSDARG00000015862	rpl5b	rpl5b	ENSCCRG00000029305	1	ortholog_one2many
ENSDARG00000011240	ift46	ift46	ENSCCRG00000064083	1	ortholog_one2many
ENSDARG00000011240	ift46	ift46	ENSCCRG00000073107	1	ortholog_one2many
ENSDARG00000077299	yars2	yars2	ENSCCRG00000068851	1	ortholog_one2many
ENSDARG00000077299	yars2	yars2	ENSCCRG00000052927	1	ortholog_one2many
ENSDARG00000045874	yeats4	yeats4	ENSCCRG00000000371	1	ortholog_one2many
ENSDARG00000045874	yeats4	yeats4	ENSCCRG00000074729	1	ortholog_one2many
ENSDARG00000044895	fmoda	fmoda	ENSCCRG00000020344	1	ortholog_one2many
ENSDARG00000044895	fmoda	fmoda	ENSCCRG00000057559	1	ortholog_one2many
ENSDARG00000045691	zcrb1	zcrb1	ENSCCRG00000052279	1	ortholog_one2many
ENSDARG00000045691	zcrb1	zcrb1	ENSCCRG00000051853	1	ortholog_one2many
ENSDARG00000017675	utp4	utp4	ENSCCRG00000003012	1	ortholog_one2many
ENSDARG00000017675	utp4	utp4	ENSCCRG00000017768	1	ortholog_one2many
ENSDARG00000068602	dalrd3	dalrd3	ENSCCRG00000008448	1	ortholog_one2many
ENSDARG00000068602	dalrd3	dalrd3	ENSCCRG00000073089	1	ortholog_one2many
ENSDARG00000016345	ncoa5	ncoa5	ENSCCRG00000024756	1	ortholog_one2many
ENSDARG00000016345	ncoa5	ncoa5	ENSCCRG00000026524	1	ortholog_one2many
ENSDARG00000004034	arhgdig	arhgdig	ENSCCRG00000067789	1	ortholog_one2many
ENSDARG00000004034	arhgdig	arhgdig	ENSCCRG00000054484	1	ortholog_one2many
ENSDARG00000054597	cnot6l	cnot6l	ENSCCRG00000010419	1	ortholog_one2many
ENSDARG00000054597	cnot6l	cnot6l	ENSCCRG00000055928	1	ortholog_one2many
ENSDARG00000007383	kcnk6	kcnk6	ENSCCRG00000054796	1	ortholog_one2many
ENSDARG00000007383	kcnk6	kcnk6	ENSCCRG00000034180	1	ortholog_one2many
ENSDARG00000063036	psd2	psd2	ENSCCRG00000057284	1	ortholog_one2many
ENSDARG00000063036	psd2	psd2	ENSCCRG00000050724	1	ortholog_one2many
ENSDARG00000019004		smarcd1	ENSCCRG00000020235	0	ortholog_one2many
ENSDARG00000019004		smarcd1	ENSCCRG00000008523	0	ortholog_one2many
ENSDARG00000043757	ptbp3	ptbp3	ENSCCRG00000020908	1	ortholog_one2many
ENSDARG00000043757	ptbp3	ptbp3	ENSCCRG00000059525	1	ortholog_one2many
ENSDARG00000012942	itgb5	itgb5	ENSCCRG00000022827	1	ortholog_one2many
ENSDARG00000012942	itgb5	itgb5	ENSCCRG00000018414	1	ortholog_one2many
ENSDARG00000070644	ttpal	ttpal	ENSCCRG00000054721	1	ortholog_one2many
ENSDARG00000070644	ttpal	ttpal	ENSCCRG00000074309	1	ortholog_one2many
ENSDARG00000037935	aldh16a1	aldh16a1	ENSCCRG00000066167	1	ortholog_one2many
ENSDARG00000037935	aldh16a1	aldh16a1	ENSCCRG00000066113	1	ortholog_one2many
ENSDARG00000005754	ptprfb	ptprfb	ENSCCRG00000045461	1	ortholog_one2many
ENSDARG00000005754	ptprfb	ptprfb	ENSCCRG00000010785	1	ortholog_one2many
ENSDARG00000052361	il15	il15	ENSCCRG00000082000	1	ortholog_one2many
ENSDARG00000052361	il15	il15	ENSCCRG00000042448	1	ortholog_one2many
ENSDARG00000087469		F2R	ENSCCRG00000055039	1	ortholog_many2many
ENSDARG00000087469	F2R	F2R	ENSCCRG00000077171	1	ortholog_many2many
ENSDARG00000087469		F2R	ENSCCRG00000046911	1	ortholog_many2many
ENSDARG00000087469	F2R	F2R	ENSCCRG00000037167	1	ortholog_many2many
ENSDARG00000087469	F2R	F2R	ENSCCRG00000059546	1	ortholog_many2many
ENSDARG00000087469		F2R	ENSCCRG00000066924	1	ortholog_many2many
ENSDARG00000087469		F2R	ENSCCRG00000021731	0	ortholog_many2many
ENSDARG00000087469		F2R	ENSCCRG00000016518	1	ortholog_many2many
ENSDARG00000087469		F2R	ENSCCRG00000043469	1	ortholog_many2many
ENSDARG00000087469		F2R	ENSCCRG00000074964	0	ortholog_many2many
ENSDARG00000040352	crot	crot	ENSCCRG00000030944	1	ortholog_one2many
ENSDARG00000040352	crot	crot	ENSCCRG00000029692	1	ortholog_one2many
ENSDARG00000020610	tnnt2a	tnnt2a	ENSCCRG00000016222	1	ortholog_one2many
ENSDARG00000020610	tnnt2a	tnnt2a	ENSCCRG00000021079	1	ortholog_one2many
ENSDARG00000074166	birc6	birc6	ENSCCRG00000027051	1	ortholog_one2many
ENSDARG00000074166	birc6	birc6	ENSCCRG00000028417	1	ortholog_one2many
ENSDARG00000096359	eppk1	eppk1	ENSCCRG00000067005	1	ortholog_one2many
ENSDARG00000096359	eppk1	eppk1	ENSCCRG00000069112	1	ortholog_one2many
ENSDARG00000002333	fam102bb	fam102bb	ENSCCRG00000044367	1	ortholog_one2many
ENSDARG00000002333	fam102bb	fam102bb	ENSCCRG00000045755	1	ortholog_one2many
ENSDARG00000063677	ccny	ccny	ENSCCRG00000081088	1	ortholog_one2many
ENSDARG00000063677	ccny	ccny	ENSCCRG00000014803	1	ortholog_one2many
ENSDARG00000008200	ugp2b	ugp2b	ENSCCRG00000024567	1	ortholog_one2many
ENSDARG00000008200	ugp2b	ugp2b	ENSCCRG00000018829	1	ortholog_one2many
ENSDARG00000042000	si:ch211-63o20.7	si:ch211-63o20.7	ENSCCRG00000066954	1	ortholog_one2many
ENSDARG00000042000	si:ch211-63o20.7	si:ch211-63o20.7	ENSCCRG00000054786	1	ortholog_one2many
ENSDARG00000010601	mtmr10	mtmr10	ENSCCRG00000034720	1	ortholog_one2many
ENSDARG00000010601	mtmr10	mtmr10	ENSCCRG00000029389	1	ortholog_one2many
ENSDARG00000098228	thrap3b	thrap3b	ENSCCRG00000039036	1	ortholog_one2many
ENSDARG00000098228	thrap3b	thrap3b	ENSCCRG00000038825	1	ortholog_one2many
ENSDARG00000038967	cul3a	cul3a	ENSCCRG00000007084	1	ortholog_one2many
ENSDARG00000038967	cul3a	cul3a	ENSCCRG00000032585	1	ortholog_one2many
ENSDARG00000021811	calm3a	calm3a	ENSCCRG00000078514	1	ortholog_one2many
ENSDARG00000021811	calm3a	calm3a	ENSCCRG00000061971	1	ortholog_one2many
ENSDARG00000036064	cnep1r1	cnep1r1	ENSCCRG00000000338	1	ortholog_one2many
ENSDARG00000036064	cnep1r1	cnep1r1	ENSCCRG00000002413	1	ortholog_one2many
ENSDARG00000103226	dhcr7	dhcr7	ENSCCRG00000057526	1	ortholog_one2many
ENSDARG00000103226	dhcr7	dhcr7	ENSCCRG00000068782	1	ortholog_one2many
ENSDARG00000096546	nrp2a	nrp2a	ENSCCRG00000005339	1	ortholog_one2many
ENSDARG00000096546	nrp2a	nrp2a	ENSCCRG00000005417	1	ortholog_one2many
ENSDARG00000016811	ints3	ints3	ENSCCRG00000002797	1	ortholog_one2many
ENSDARG00000016811	ints3	ints3	ENSCCRG00000003855	1	ortholog_one2many
ENSDARG00000006370	atp6v1h	atp6v1h	ENSCCRG00000055275	1	ortholog_one2many
ENSDARG00000006370	atp6v1h	atp6v1h	ENSCCRG00000018150	1	ortholog_one2many
ENSDARG00000089885	slc16a12b	slc16a12b	ENSCCRG00000070698	1	ortholog_one2many
ENSDARG00000089885	slc16a12b	slc16a12b	ENSCCRG00000017427	1	ortholog_one2many
ENSDARG00000070787	jupa	jupa	ENSCCRG00000015864	1	ortholog_one2many
ENSDARG00000070787	jupa	jupa	ENSCCRG00000014259	1	ortholog_one2many
ENSDARG00000094709	arl8	arl8	ENSCCRG00000045726	1	ortholog_one2many
ENSDARG00000094709	arl8	arl8	ENSCCRG00000040509	1	ortholog_one2many
ENSDARG00000062521	atp9b	atp9b	ENSCCRG00000040711	1	ortholog_one2many
ENSDARG00000062521	atp9b	atp9b	ENSCCRG00000079182	1	ortholog_one2many
ENSDARG00000022718	casp8ap2	casp8ap2	ENSCCRG00000078791	1	ortholog_one2many
ENSDARG00000022718	casp8ap2	casp8ap2	ENSCCRG00000029712	1	ortholog_one2many
ENSDARG00000033144	psme2	psme2	ENSCCRG00000043822	1	ortholog_one2many
ENSDARG00000033144	psme2	psme2	ENSCCRG00000069934	1	ortholog_one2many
ENSDARG00000021021	trim35-28	trim35-28	ENSCCRG00000061884	1	ortholog_one2many
ENSDARG00000021021	trim35-28	trim35-28	ENSCCRG00000002728	1	ortholog_one2many
ENSDARG00000014053	olfm1b	olfm1b	ENSCCRG00000027210	1	ortholog_one2many
ENSDARG00000014053	olfm1b	olfm1b	ENSCCRG00000060118	1	ortholog_one2many
ENSDARG00000099448	sh3d21	sh3d21	ENSCCRG00000051498	1	ortholog_one2many
ENSDARG00000099448	sh3d21	sh3d21	ENSCCRG00000008250	1	ortholog_one2many
ENSDARG00000043554	mrpl40	mrpl40	ENSCCRG00000060930	1	ortholog_one2many
ENSDARG00000043554	mrpl40	mrpl40	ENSCCRG00000039944	1	ortholog_one2many
ENSDARG00000017294	gnai2b	gnai2b	ENSCCRG00000057063	1	ortholog_one2many
ENSDARG00000017294	gnai2b	gnai2b	ENSCCRG00000017881	1	ortholog_one2many
ENSDARG00000007825	map2k1	map2k1	ENSCCRG00000077344	1	ortholog_one2many
ENSDARG00000007825	map2k1	map2k1	ENSCCRG00000035016	1	ortholog_one2many
